Price,Close,High,Low,Open,Volume,EMA_F,EMA_S,RSI,LongCond,Pos,Ret,StratRet
Ticker,Audcad=X,Audcad=X,Audcad=X,Audcad=X,Audcad=X,,,,,,,
Date,,,,,,,,,,,,
2025-05-02,0.8842399716377258,0.8913999795913696,0.8839280009269714,0.8842399716377258,0,0.8842399716377258,0.8842399716377258,50.0,False,0,0.0,0.0
2025-05-05,0.8908799886703491,0.8963760137557983,0.889460027217865,0.8908799886703491,0,0.8850211501121521,0.8844576771142053,50.0,True,0,0.007509293003713724,0.0
2025-05-06,0.8929799795150757,0.894070029258728,0.8904200196266174,0.8929799795150757,0,0.8859574829830843,0.8847370968650535,50.0,True,1,0.0023572095809007987,0.0023572095809007987
2025-05-07,0.8958500027656555,0.8966270089149475,0.889680027961731,0.8958500027656555,0,0.8871213088398573,0.8851014544355651,50.0,True,1,0.0032139838702076595,0.0032139838702076595
2025-05-08,0.8896399736404419,0.8931379914283752,0.8886510133743286,0.8896399736404419,0,0.8874176223458085,0.8852502583439217,92.70394829809825,False,1,-0.006931996546343799,-0.006931996546343799
2025-05-09,0.8900799751281738,0.8952410221099854,0.8883000016212463,0.8900799751281738,0,0.8877308403202043,0.8854086097138971,92.744341652385,False,0,0.0004945837650836005,0.0
2025-05-12,0.8941019773483276,0.8984799981117249,0.8911839723587036,0.8941019773483276,0,0.8884803858529248,0.8856936381609275,93.11933640076244,False,0,0.004518697569366958,0.0
2025-05-13,0.8903589844703674,0.903531014919281,0.8896700143814087,0.8903589844703674,0,0.8887013974549769,0.8858466003350075,88.53351189142565,False,0,-0.0041863154011367865,-0.0
2025-05-14,0.9017869830131531,0.9042029976844788,0.8997799754142761,0.9017869830131531,0,0.89024087810888,0.8863692358326516,90.13147156280374,False,0,0.012835270651627706,0.0
2025-05-15,0.8983229994773865,0.9010099768638611,0.8947209715843201,0.8983229994773865,0,0.8911917159169396,0.8867611625095282,86.2097038306462,False,0,-0.0038412436650974158,-0.0
2025-05-16,0.893779993057251,0.8970010280609131,0.8920999765396118,0.893779993057251,0,0.8914962191099174,0.8869912881012567,81.21842117349114,False,0,-0.005057208178771422,-0.0
2025-05-19,0.8941299915313721,0.9006999731063843,0.8938999772071838,0.8941299915313721,0,0.891806074688912,0.8872253439514244,81.3082083730757,False,0,0.0003915935429745776,0.0
2025-05-20,0.9009400010108948,0.9009400010108948,0.8906239867210388,0.9009400010108948,0,0.8928806542562041,0.8876750048386202,83.01012671095927,False,0,0.007616352816729899,0.0
2025-05-21,0.8935800194740295,0.896714985370636,0.8929409980773926,0.8935800194740295,0,0.8929629325171247,0.8878686118758466,75.05609291626698,False,0,-0.008169224952390808,-0.0
2025-05-22,0.891510009765625,0.8944399952888489,0.8888000249862671,0.891510009765625,0,0.892792000428713,0.8879880019705934,72.93920567528642,False,0,-0.0023165353558631807,-0.0
2025-05-23,0.8882399797439575,0.8930590152740479,0.8880620002746582,0.8882399797439575,0,0.8922564685834475,0.8879962635369332,69.59969270073702,True,0,-0.0036679678139869276,-0.0
2025-05-26,0.8929790258407593,0.8950070142745972,0.8915799856185913,0.8929790258407593,0,0.8923414753196018,0.8881596327927963,71.62713792289009,False,1,0.005335321765372214,0.005335321765372214
2025-05-27,0.8901640176773071,0.8913170099258423,0.8858199715614319,0.8901640176773071,0,0.892085303832273,0.8882253503299934,68.69638990923758,True,0,-0.00315237881517072,-0.0
2025-05-28,0.89028000831604,0.8909800052642822,0.8860999941825867,0.89028000831604,0,0.8918729161244808,0.8882927161656015,68.75312287218547,True,1,0.00013030254697965482,0.00013030254697965482
2025-05-29,0.8898199796676636,0.8911129832267761,0.8877900242805481,0.8898199796676636,0,0.8916313941883847,0.8883427903787837,68.22500454958042,True,1,-0.0005167235522300917,-0.0005167235522300917
2025-05-30,0.8898299932479858,0.8905919790267944,0.8833299875259399,0.8898299932479858,0,0.8914194646659848,0.8883915511285936,68.23072506683508,True,1,1.1253490089124796e-05,1.1253490089124796e-05
2025-06-02,0.8843330144882202,0.8903440237045288,0.8842300176620483,0.8843330144882202,0,0.8905857646450712,0.8882584843534993,61.66738793779652,True,1,-0.006177560659313075,-0.006177560659313075
2025-06-03,0.8908900022506714,0.8910300135612488,0.8854230046272278,0.8908900022506714,0,0.8906215573045535,0.8883447636288164,65.88317210483314,True,1,0.007414613788048863,0.007414613788048863
2025-06-04,0.886847972869873,0.8896399736404419,0.8854420185089111,0.886847972869873,0,0.890177606194591,0.8882956885219658,61.40026272205722,True,1,-0.004537068965401847,-0.004537068965401847
2025-06-05,0.8878539800643921,0.8917790055274963,0.8871999979019165,0.8878539800643921,0,0.8899042384145676,0.8882812062774552,62.09162695614311,True,1,0.0011343626250432948,0.0011343626250432948
2025-06-06,0.8896999955177307,0.8902999758720398,0.8871999979019165,0.8896999955177307,0,0.889880209838469,0.8883277239574642,63.38752425885422,True,1,0.0020791881264132783,0.0020791881264132783
2025-06-09,0.8898770213127136,0.893280029296875,0.8889999985694885,0.8898770213127136,0,0.8898798347177919,0.8883785205920625,63.51632546131736,True,1,0.00019897245799116448,0.00019897245799116448
2025-06-10,0.892799973487854,0.8946980237960815,0.8908550143241882,0.892799973487854,0,0.8902233804554462,0.8885234862607769,65.66419497746428,True,1,0.0032846697972137573,0.0032846697972137573
2025-06-11,0.891700029373169,0.8936100006103516,0.8888999819755554,0.891700029373169,0,0.8903971038575312,0.8886276352152815,64.13405343937355,True,1,-0.0012320162940731016,-0.0012320162940731016
2025-06-12,0.8894799947738647,0.8898630142211914,0.8853999972343445,0.8894799947738647,0,0.8902892086712174,0.8886555814303171,61.04228087186216,True,1,-0.0024896652755128645,-0.0024896652755128645
2025-06-13,0.887499988079071,0.8873329758644104,0.8808500170707703,0.887499988079071,0,0.8899610650721413,0.8886176931237187,58.340913355848635,True,1,-0.0022260272366182443,-0.0022260272366182443
2025-06-16,0.881600022315979,0.8872699737548828,0.8797900080680847,0.881600022315979,0,0.888977412983181,0.8883876055562518,51.08614473417561,True,1,-0.006647848836440096,-0.006647848836440096
2025-06-17,0.8834400177001953,0.8881819844245911,0.8831790089607239,0.8834400177001953,0,0.8883259547145944,0.8882253895609713,53.04708700667501,True,1,0.0020871090490477417,0.0020871090490477417
2025-06-18,0.8866109848022461,0.8924099802970886,0.8855999708175659,0.8866109848022461,0,0.8881241935484357,0.8881724582574065,56.298617122020296,False,1,0.00358934057606497,0.00358934057606497
2025-06-19,0.8906000256538391,0.8913589715957642,0.8853999972343445,0.8906000256538391,0,0.8884154679137773,0.88825205063106,60.04693782322882,True,0,0.004499200799415792,0.0
2025-06-20,0.8882200121879578,0.8905199766159058,0.8865699768066406,0.8882200121879578,0,0.8883924731225044,0.8882510001903026,56.91054863833512,True,1,-0.00267237075828064,-0.00267237075828064
2025-06-23,0.8856449723243713,0.885699987411499,0.8789799809455872,0.8856449723243713,0,0.8880692377344886,0.8881655566537145,53.64569877150827,False,1,-0.0028991013805726995,-0.0028991013805726995
2025-06-24,0.8893120288848877,0.8933899998664856,0.8886799812316895,0.8893120288848877,0,0.8882154484580649,0.8882031459071956,57.39419876973028,True,0,0.004140549176147035,0.0
2025-06-25,0.8913499712944031,0.8930929899215698,0.8907999992370605,0.8913499712944031,0,0.8885842158505752,0.8883063205100548,59.361038876028644,True,1,0.0022915943373338354,0.0022915943373338354
2025-06-26,0.8943099975585938,0.8962200284004211,0.8924300074577332,0.8943099975585938,0,0.8892578372279891,0.8885031623804986,62.09789513304255,True,1,0.0033208350922950824,0.0033208350922950824
2025-06-27,0.8930299878120422,0.894540011882782,0.8906000256538391,0.8930299878120422,0,0.8897016196496423,0.8886515828864509,60.2095677297052,True,1,-0.0014312819380817299,-0.0014312819380817299
2025-06-30,0.8932999968528748,0.8951830267906189,0.8921300172805786,0.8932999968528748,0,0.8901249581441403,0.8888039899017434,60.482552871626254,True,1,0.00030235159459102157,0.00030235159459102157
2025-07-01,0.8947070240974426,0.8976200222969055,0.8924999833106995,0.8947070240974426,0,0.8906640247268817,0.8889975320065203,61.94759900789922,True,1,0.0015750892751873469,0.0015750892751873469
2025-07-02,0.8974180221557617,0.8983269929885864,0.8928999900817871,0.8974180221557617,0,0.8914586126596911,0.8892736136507576,64.66572735247198,True,1,0.0030300399854956694,0.0030300399854956694
2025-07-03,0.8943300247192383,0.8944849967956543,0.8899999856948853,0.8943300247192383,0,0.8917964258431672,0.889439397620216,59.455989022224365,True,1,-0.003440979967290536,-0.003440979967290536
2025-07-04,0.8927710056304932,0.8930439949035645,0.8898640275001526,0.8927710056304932,0,0.891911082288735,0.8895486306697332,56.96094554055523,True,1,-0.0017432257060077117,-0.0017432257060077117
